*Wavelength (um) n k 
ComplexRefractiveIndex { 
  Formula = 1 
NumericalTable( 
1.035 3.406 0.1563; 
1.036 3.406 0.1563; 
1.037 3.406 0.1563; 
1.039 3.406 0.1564; 
1.04 3.406 0.1564; 
1.041 3.406 0.1565; 
1.043 3.406 0.1565; 
1.044 3.406 0.1565; 
1.045 3.406 0.1566; 
1.047 3.406 0.1566; 
1.048 3.406 0.1567; 
1.049 3.406 0.1567; 
1.05 3.406 0.1567; 
1.052 3.406 0.1568; 
1.053 3.406 0.1568; 
1.055 3.406 0.1568; 
1.056 3.406 0.1569; 
1.057 3.406 0.1569; 
1.059 3.406 0.157; 
1.06 3.406 0.157; 
1.061 3.406 0.157; 
1.063 3.406 0.1571; 
1.064 3.406 0.1571; 
1.065 3.406 0.1571; 
1.067 3.406 0.1572; 
1.068 3.406 0.1572; 
1.07 3.406 0.1573; 
1.071 3.406 0.1573; 
1.072 3.406 0.1573; 
1.074 3.406 0.1574; 
1.075 3.406 0.1574; 
1.076 3.406 0.1574; 
1.078 3.406 0.1575; 
1.079 3.406 0.1575; 
1.081 3.406 0.1576; 
1.082 3.406 0.1576; 
1.084 3.406 0.1576; 
1.085 3.406 0.1577; 
1.086 3.406 0.1577; 
1.088 3.406 0.1577; 
1.089 3.406 0.1578; 
1.091 3.406 0.1578; 
1.092 3.406 0.1578; 
1.094 3.406 0.1579; 
1.095 3.406 0.1579; 
1.096 3.406 0.1579; 
1.098 3.406 0.158; 
1.099 3.406 0.158; 
1.101 3.406 0.1581; 
1.102 3.406 0.1581; 
1.104 3.406 0.1581; 
1.105 3.406 0.1582; 
1.107 3.406 0.1582; 
1.108 3.406 0.1582; 
1.11 3.406 0.1583; 
1.111 3.406 0.1583; 
1.113 3.406 0.1583; 
1.114 3.406 0.1584; 
1.116 3.406 0.1584; 
1.117 3.406 0.1584; 
1.119 3.406 0.1585; 
1.12 3.406 0.1585; 
1.122 3.406 0.1585; 
1.123 3.406 0.1586; 
1.125 3.406 0.1586; 
1.126 3.406 0.1586; 
1.128 3.406 0.1587; 
1.129 3.406 0.1587; 
1.131 3.406 0.1587; 
1.133 3.406 0.1588; 
1.134 3.406 0.1588; 
1.136 3.406 0.1588; 
1.137 3.406 0.1589; 
1.139 3.406 0.1589; 
1.14 3.406 0.1589; 
1.142 3.406 0.159; 
1.144 3.406 0.159; 
1.145 3.406 0.159; 
1.147 3.406 0.1591; 
1.148 3.406 0.1591; 
1.15 3.406 0.1591; 
1.151 3.406 0.1591; 
1.153 3.406 0.1592; 
1.155 3.406 0.1592; 
1.156 3.406 0.1592; 
1.158 3.406 0.1593; 
1.16 3.406 0.1593; 
1.161 3.406 0.1593; 
1.163 3.406 0.1594; 
1.164 3.406 0.1594; 
1.166 3.406 0.1594; 
1.168 3.406 0.1595; 
1.169 3.406 0.1595; 
1.171 3.406 0.1595; 
1.173 3.406 0.1595; 
1.174 3.406 0.1596; 
1.176 3.406 0.1596; 
1.178 3.406 0.1596; 
1.179 3.406 0.1597; 
1.181 3.406 0.1597; 
1.183 3.406 0.1597; 
1.185 3.406 0.1597; 
1.186 3.406 0.1598; 
1.188 3.406 0.1598; 
1.19 3.406 0.1598; 
1.191 3.406 0.1599; 
1.193 3.406 0.1599; 
1.195 3.406 0.1599; 
1.197 3.406 0.1599; 
1.198 3.406 0.16; 
1.2 3.406 0.16; 
1.202 3.406 0.16; 
1.203 3.406 0.16; 
1.205 3.406 0.1601; 
1.207 3.406 0.1601; 
1.209 3.406 0.1601; 
1.211 3.406 0.1601; 
1.212 3.406 0.1602; 
1.214 3.406 0.1602; 
1.216 3.406 0.1602; 
1.218 3.406 0.1602; 
1.219 3.406 0.1603; 
1.221 3.406 0.1603; 
1.223 3.406 0.1603; 
1.225 3.406 0.1603; 
1.227 3.406 0.1604; 
1.229 3.406 0.1604; 
1.23 3.406 0.1604; 
1.232 3.406 0.1604; 
1.234 3.406 0.1605; 
1.236 3.406 0.1605; 
1.238 3.406 0.1605; 
1.24 3.406 0.1605; 
1.241 3.406 0.1606; 
1.243 3.406 0.1606; 
1.245 3.406 0.1606; 
1.247 3.406 0.1606; 
1.249 3.406 0.1606; 
1.251 3.406 0.1607; 
1.253 3.406 0.1607; 
1.255 3.406 0.1607; 
1.257 3.406 0.1607; 
1.258 3.406 0.1607; 
1.26 3.406 0.1608; 
1.262 3.406 0.1608; 
1.264 3.406 0.1608; 
1.266 3.406 0.1608; 
1.268 3.406 0.1608; 
1.27 3.406 0.1609; 
1.272 3.406 0.1609; 
1.274 3.406 0.1609; 
1.276 3.406 0.1609; 
1.278 3.406 0.1609; 
1.28 3.406 0.161; 
1.282 3.406 0.161; 
1.284 3.406 0.161; 
1.286 3.406 0.161; 
1.288 3.406 0.161; 
1.29 3.406 0.161; 
1.292 3.406 0.1611; 
1.294 3.406 0.1611; 
1.296 3.406 0.1611; 
1.298 3.406 0.1611; 
1.3 3.406 0.1611; 
1.302 3.406 0.1611; 
1.304 3.406 0.1612; 
1.306 3.406 0.1612; 
1.308 3.406 0.1612; 
1.31 3.406 0.1612; 
1.312 3.406 0.1612; 
1.315 3.406 0.1612; 
1.317 3.406 0.1612; 
1.319 3.406 0.1613; 
1.321 3.406 0.1613; 
1.323 3.406 0.1613; 
1.325 3.406 0.1613; 
1.327 3.406 0.1613; 
1.329 3.406 0.1613; 
1.331 3.406 0.1613; 
1.334 3.406 0.1613; 
1.336 3.406 0.1614; 
1.338 3.406 0.1614; 
1.34 3.406 0.1614; 
1.342 3.406 0.1614; 
1.344 3.406 0.1614; 
1.347 3.406 0.1614; 
1.349 3.406 0.1614; 
1.351 3.406 0.1614; 
1.353 3.406 0.1614; 
1.355 3.406 0.1614; 
1.358 3.406 0.1615; 
1.36 3.406 0.1615; 
1.362 3.406 0.1615; 
1.364 3.406 0.1615; 
1.367 3.406 0.1615; 
1.369 3.406 0.1615; 
1.371 3.406 0.1615; 
1.374 3.406 0.1615; 
1.376 3.406 0.1615; 
1.378 3.406 0.1615; 
1.38 3.406 0.1615; 
1.383 3.406 0.1615; 
1.385 3.406 0.1615; 
1.387 3.406 0.1615; 
1.39 3.406 0.1615; 
1.392 3.406 0.1615; 
1.394 3.406 0.1615; 
1.397 3.406 0.1615; 
1.399 3.406 0.1616; 
1.401 3.406 0.1616; 
1.404 3.406 0.1616; 
1.406 3.406 0.1616; 
1.409 3.406 0.1616; 
1.411 3.406 0.1616; 
1.413 3.406 0.1616; 
1.416 3.406 0.1616; 
1.418 3.406 0.1616; 
1.421 3.406 0.1616; 
1.423 3.406 0.1616; 
1.426 3.406 0.1616; 
1.428 3.406 0.1616; 
1.431 3.406 0.1616; 
1.433 3.406 0.1616; 
1.436 3.406 0.1616; 
1.438 3.406 0.1616; 
1.441 3.406 0.1615; 
1.443 3.406 0.1615; 
1.446 3.406 0.1615; 
1.448 3.406 0.1615; 
1.451 3.406 0.1615; 
1.453 3.406 0.1615; 
1.456 3.406 0.1615; 
1.458 3.406 0.1615; 
1.461 3.406 0.1615; 
1.464 3.406 0.1615; 
1.466 3.406 0.1615; 
1.469 3.406 0.1615; 
1.471 3.406 0.1615; 
1.474 3.406 0.1615; 
1.477 3.406 0.1615; 
1.479 3.406 0.1615; 
1.482 3.406 0.1615; 
1.485 3.405 0.1615; 
1.487 3.405 0.1615; 
1.49 3.405 0.1615; 
1.493 3.405 0.1615; 
1.495 3.405 0.1615; 
1.498 3.405 0.1615; 
1.501 3.405 0.1615; 
1.503 3.405 0.1615; 
1.506 3.405 0.1614; 
1.509 3.405 0.1614; 
1.512 3.405 0.1614; 
1.514 3.405 0.1614; 
1.517 3.405 0.1614; 
1.52 3.405 0.1614; 
1.523 3.405 0.1614; 
1.526 3.405 0.1614; 
1.528 3.405 0.1615; 
1.531 3.405 0.1615; 
1.534 3.405 0.1615; 
1.537 3.405 0.1615; 
1.54 3.405 0.1615; 
1.543 3.405 0.1615; 
1.546 3.405 0.1615; 
1.549 3.405 0.1615; 
1.551 3.405 0.1615; 
1.554 3.405 0.1616; 
1.557 3.405 0.1616; 
1.56 3.405 0.1616; 
1.563 3.405 0.1616; 
1.566 3.405 0.1617; 
1.569 3.405 0.1617; 
1.572 3.405 0.1617; 
1.575 3.405 0.1618; 
1.578 3.405 0.1618; 
1.581 3.405 0.1619; 
1.584 3.405 0.1619; 
1.587 3.405 0.162; 
1.59 3.405 0.1621; 
1.593 3.405 0.1621; 
1.596 3.405 0.1622; 
1.599 3.405 0.1623; 
1.603 3.405 0.1624; 
1.606 3.405 0.1625; 
1.609 3.405 0.1626; 
1.612 3.405 0.1627; 
1.615 3.405 0.1628; 
1.618 3.405 0.163; 
1.621 3.405 0.1631; 
1.625 3.405 0.1633; 
1.628 3.405 0.1634; 
1.631 3.405 0.1636; 
1.634 3.405 0.1638; 
1.637 3.405 0.1639; 
1.641 3.405 0.1641; 
1.644 3.405 0.1644; 
1.647 3.405 0.1646; 
1.651 3.405 0.1648; 
1.654 3.405 0.1651; 
1.657 3.405 0.1653; 
1.661 3.405 0.1656; 
1.664 3.405 0.1659; 
1.667 3.405 0.1661; 
1.671 3.405 0.1665; 
1.674 3.405 0.1668; 
1.677 3.405 0.1671; 
1.681 3.405 0.1674; 
1.684 3.405 0.1678; 
1.688 3.405 0.1681; 
1.691 3.405 0.1685; 
1.695 3.405 0.1689; 
1.698 3.405 0.1693; 
1.702 3.405 0.1696; 
1.705 3.405 0.17; 
1.709 3.405 0.1705; 
1.712 3.405 0.1709; 
1.716 3.405 0.1713; 
1.719 3.405 0.1717; 
1.723 3.405 0.1721; 
1.726 3.405 0.1725; 
1.73 3.405 0.173; 
