#Experimental InAs epsilon 1 data from: Adachi 1986,
#energy (eV),#Epsilon 1
0.093628359,11.28718135
0.136409257,11.66158423
0.210527575,11.96043309
0.259803263,12.09464631
0.330359131,12.36354531
0.886801361,12.36915722
0.999318986,12.62234288
1.192638752,13.02421456
1.393398471,13.63603068
1.53687545,13.6336087
1.594567761,14.44290491
1.713170605,14.2608428
1.790977394,14.64965941
1.907404028,15.09784411
2.002865537,15.56138771
2.109455471,16.32484349
2.191360302,16.99868596
2.287892996,17.97238154
2.383480526,18.49594302
2.499655117,18.82409195
2.511166275,15.97294732
2.612528638,12.58010588
2.711239875,11.25799943
2.81348439,8.285283149
2.918249341,6.512924454
3.004821646,6.076318011
3.102301838,5.834592457
3.192972185,5.683011868
3.301454779,5.681180614
3.427686609,5.799089755
3.53304783,5.977371212
3.613944487,6.171070647
3.698750153,6.559769118
3.80420589,6.783063984
3.917196097,7.261316691
3.998565335,7.680083174
4.094247382,8.248658065
4.213921412,8.576747929
4.32126981,8.034755761
4.424713866,3.966654108
4.479609192,-1.556113173
4.599161868,-4.619151637
4.676217193,-7.921552746
4.809101341,-7.968810919
4.91285345,-6.890202199
5.005792189,-5.96146096
5.091290975,-5.242664153
5.207623093,-4.839492867
5.306048448,-4.631084326
5.415318678,-4.257803834
5.50015585,-3.854100894
5.591897382,-3.495529508
5.715448915,-2.987445079
5.824782157,-2.584155647
