wavelength(nm)  n   k,,(k<1000nm ==> adachi),,,,
1346,3.4875,0.1111,,,,
1352,3.4874,0.1104,,,,
1357,3.4874,0.1097,,,,
1363,3.4874,0.1086,,,,
1368,3.4874,0.1077,,,,
1374,3.4874,0.1074,,,,
1379,3.4873,0.1071,,,,
1385,3.4869,0.1064,,,,
1391,3.4854,0.1057,,,,
1396,3.4835,0.1051,,,,
1402,3.4818,0.1045,,,,
1407,3.4814,0.1039,,,,
1413,3.4814,0.1034,,,,
1419,3.4814,0.1029,,,,
1424,3.4814,0.1027,,,,
1430,3.4815,0.1025,,,,
1435,3.4815,0.1019,,,,
1441,3.4815,0.1015,,,,
1446,3.4816,0.1012,,,,
1452,3.4816,0.1008,,,,
1458,3.4815,0.1002,,,,
1463,3.4799,0.0994,,,,
1469,3.4783,0.0985,,,,
1474,3.4767,0.098,,,,
1480,3.476,0.0973,,,,
1485,3.476,0.0961,,,,
1491,3.4761,0.0951,,,,
1497,3.4762,0.0943,,,,
1502,3.4762,0.0936,,,,
1508,3.4763,0.0929,,,,
1513,3.4764,0.0921,,,,
1519,3.4765,0.0912,,,,
1525,3.4766,0.0908,,,,
1530,3.4767,0.09,,,,
1536,3.4769,0.0885,,,,
1541,3.477,0.0871,,,,
1547,3.4771,0.0861,,,,
1552,3.4772,0.0854,,,,
1558,3.4772,0.0847,,,,
1564,3.4763,0.0841,,,,
1569,3.4749,0.0833,,,,
1575,3.4736,0.0823,,,,
1580,3.4723,0.0812,,,,
1586,3.472,0.08,,,,
1591,3.4722,0.0787,,,,
1597,3.4723,0.0775,,,,
1603,3.4724,0.0761,,,,
1608,3.4724,0.0747,,,,
1614,3.4724,0.0731,,,,
1619,3.4725,0.0714,,,,
1625,3.4725,0.0698,,,,
1630,3.4726,0.0681,,,,
1636,3.4727,0.0661,,,,
1642,3.4727,0.0642,,,,
1647,3.4727,0.0623,,,,
1653,3.4726,0.0598,,,,
1658,3.4725,0.0566,,,,
1664,3.4725,0.0535,,,,
1670,3.4724,0.0503,,,,
1675,3.4722,0.0452,,,,
1681,3.4712,0.0392,,,,
1686,3.4699,0.0338,,,,
1692,3.4685,0.0286,,,,
1697,3.467,0.023,,,,
1703,3.466,0.0177,,,,
1709,3.4657,0.0129,,,,
1714,3.4656,0.0097,,,,
1720,3.4654,0.0078,,,,
1725,3.4653,0.006,,,,
1731,3.4651,0.0041,,,,
1736,3.465,0.0034,,,,
1742,3.4648,0.0027,,,,
1748,3.4646,0.0021,,,,
1753,3.4644,0.0016,,,,
1759,3.4642,0.0014,,,,
