"#From Adachi: Model dielectric constants of GaP, GaAs, GaSb, InP, InAs, and InSb ",
#Energy (eV),#eps 2
1.333696992,0.134871407
1.342941249,0.236948424
1.352062851,0.376995464
1.412453924,0.593748973
1.502779087,0.950024987
1.503250337,1.39041342
1.610191922,1.512307278
1.725687025,1.653565396
1.824152556,1.904683117
1.952468255,2.082730684
2.029501572,2.276812671
2.127909003,2.502279256
2.222068725,2.808006256
2.316215536,3.118376976
2.444557057,3.481789417
2.555823817,3.948528532
2.620075271,4.453440651
2.727107232,5.210915364
2.817122532,6.490589527
2.911385541,7.917725673
3.005829304,11.17792715
3.048829298,13.84710575
3.21150755,17.43514247
3.331030877,15.63555286
3.42488719,13.73027962
3.51025454,12.63627404
3.604220597,12.12565093
3.736648441,11.63799689
3.830608042,11.10959909
3.928879909,10.94267433
4.027177597,11.00555793
4.134041715,11.24391742
4.219531719,11.42638726
4.317945606,12.62360192
4.412085961,13.94594535
4.519098556,16.06455436
4.621940906,20.11563437
4.720419348,23.41352705
4.818529828,20.24160927
4.920952572,18.05627541
4.997637292,14.89241292
5.121266308,11.66137408
5.227865752,9.619542302
5.313175002,8.446974478
5.40709587,7.814947741
5.522403765,7.34508824
5.620604621,6.831207426
5.72733963,6.287609232
5.817019244,5.970767143
5.923812352,5.759848831
6.026344839,5.614539022
