wavelength(nm),n,k (n k<1250nm and >1800nm ==> adachi shifted to fit with NRC data)
1826,3.58329328,0
1831,3.58209328,0
1837,3.58109328,0
1842,3.58099328,0
1848,3.58089328,0
1854,3.58079328,0
1859,3.58069328,0
1865,3.58059328,0
1870,3.58049328,0
1876,3.58029328,0
1881,3.58009328,0
1887,3.57999328,0
1893,3.57979328,0
1898,3.57969328,0
1904,3.57949328,0
1909,3.57939328,0
1915,3.57919328,0
1921,3.57909328,0
1926,3.57909328,0
1932,3.57899328,0
1937,3.57889328,0
1943,3.57889328,0
1948,3.57889328,0
1954,3.57879328,0
1960,3.57879328,0
1965,3.57869328,0
1971,3.57869328,0
